SessionID,avg_page_view_time_seconds,num_page_views_in_session
whq.whq.usbm.gov_1,0.0,1
vw9.thetech.org_2,0.0,1
204.155.145.51_1,0.0,1
intgate.raleigh.ibm.com_68,0.0,1
sho-vss-eng1.atsc.allied.com_7,0.0,1
pczeo.univ-lille1.fr_1,0.0,1
imac15.infj.ulst.ac.uk_1,0.0,1
chopin.udel.edu_3,0.0,1
128.159.112.22_14,0.0,1
asimov_20,0.0,1
wolson-mac.sctr.ida.org_1,0.0,1
163.206.11.35_20,0.0,1
labbey.mindspring.com_7,0.0,1
stargate.tamu.edu_1,0.0,1
www-c3.proxy.aol.com_147,0.0,1
nt176.imonics.com_2,0.0,1
s-cwis.unomaha.edu_1,0.0,1
a23.148.148.204.interaccess.com_1,0.0,1
iii2.iii.net_1,0.0,1
128.217.62.38_7,0.0,1
